t,sbel1,sbel2,hbe,stel1,stel2,stel_hbe,dvbe,mach,pdynmc,psivlx,thtvlx,alphax,betax,alppx,psiblx,thtblx,phiblx,ppx,qqx,rrx,dpcx,dqcx,drcx,dpx,dqx,drx,delcx1,delcx2,delcx3,delcx4,delx1,delx2,delx3,delx4,thrust,mass,xcg,anx,ayx,ancomx,alcomx,dtbc,tgoc
0.0,0.1249995563048317,0.0,9999.9999975583,6000.0,1500.0,10000.0,249.99911265735875,0.8348197556304093,12.896836186773413,0.0,-0.001119196934175424,0.0,0.0,0.0008102847180697748,0.0008102847180697748,-0.0,0.0008102847180697748,0.0,-1.0522316378977807e-05,0.0,-0.0002384439739698989,-0.0,-17.652183946574873,0.0,0.0,0.0,17.652422390548843,-17.651945502600903,17.651945502600903,-17.652422390548843,0.0,0.0,0.0,0.0,0.0,91.9563,1.5357,5.238167615897807e-05,0.0,-0.0,3.0485633495257094,6184.537171118727,14.166666666666666
0.010000000000000002,2.626520371415945,-4.1414322791528445e-05,9999.999460619352,5998.000000000002,1500.0,10000.0,250.42370532387093,0.8359872633889105,12.932935117463007,-0.003185192345278997,-0.02344644564732774,0.021217592036044865,-0.003981516096596786,0.021587929065965156,0.0020036026611873195,-5.486178094647308e-06,-0.0008102847180697748,0.0,-0.002192248225557013,1.0347835262830851,0.00023776058731075165,-0.18019668245131878,-17.119975075011794,0.0,0.0,-5.999999999999999,16.939540631973166,-17.300409518050422,16.940016153147788,-17.2999339968758,5.999999999999999,-5.999999999999999,5.999999999999999,-5.999999999999999,7288.709461062353,91.77214,1.5353400000000001,0.0014607543869882167,-0.22525131381265948,0.0026743623836677365,3.0575436460974426,6180.170166304245,14.14664557289757
0.02000000000000001,5.135791286542475,-0.0003976225006721923,9999.9979485522,5996.000000000004,1500.0,10000.0,251.5446268460749,0.8394995017908834,13.041836659656429,-0.014393159113448847,-0.045534310991675334,0.04329872781980536,-0.03389817954851089,0.05498969166190299,0.02397295194111301,-5.020604621712684e-05,-0.0008102847180697748,0.0,-0.008747951077668773,4.629448001047554,0.00023619192281894763,-0.36394131451196,-15.044243535356328,0.0,0.0,-11.999999999999996,14.68006602892155,-15.408421041791106,14.680538412767186,-15.40794865794547,11.999999999999996,-11.999999999999996,11.999999999999996,-11.999999999999996,13641.309389495158,91.58798,1.53498,0.0029623209799799154,-0.47954920962304154,0.005502647343648036,3.0773912780202997,6175.795913088113,14.104680934406208
0.03000000000000002,7.659727810163245,-0.0014134774414084248,9999.995460906195,5994.0000000000055,1500.0,10000.0,253.35752044325383,0.8453214430038911,13.223359389494387,-0.03225868283137056,-0.06739662623306672,0.06510707969768438,-0.11447821163685896,0.13169733150519614,0.09158790686006352,-7.485751015848988e-05,0.0008102847180697748,0.0004382215745158107,0.043411525650033984,10.486337973123359,-0.00024829537227086804,-0.4900364521421041,-11.603986718924267,2.5649579462161398e-05,-0.421025557029715,-13.83050886611016,11.114198562154433,-12.0937748756941,11.113701971409892,-12.094271466438641,13.409451285012329,-14.251553698230683,13.409515333148562,-14.251515148049068,19993.909268601717,91.40382,1.53462,-0.011975237282544854,-0.5992211553226743,0.008376265159560045,3.1082565527021653,6171.407788738067,14.041666069585991
0.04000000000000003,10.205282909230478,-0.003203957301505062,9999.991980744278,5992.000000000007,1500.0,10000.0,255.87026662626397,0.8534772082081425,13.479758472342048,-0.04704854591028611,-0.0891506394904584,0.08791208093251568,-0.25199837152373344,0.26689260647328317,0.2182915664989115,0.0011223888825011808,0.0008102847180697748,-0.0004310607540411008,0.24551824176375528,15.827369910727262,-0.00022010772090099101,-0.513011634169972,-8.364247013055909,-0.0002743950386223659,-0.5287503304072416,-9.780728941430892,7.851455486606838,-8.87703853950498,7.851015271165036,-8.877478754946782,9.252254262244692,-10.309206132981931,9.251702959802607,-10.309752410694335,26346.509097599424,91.21966,1.53426,-0.017155347955485643,-0.4304498677816231,0.011372976436203566,3.1495970338270594,6166.999079727643,13.957587317217339
0.05000000000000004,12.779485611994284,-0.005500951742559587,9999.987498873785,5990.000000000009,1500.0,10000.0,259.0875590813151,0.8639852275842353,13.813736900957972,-0.053933874322315584,-0.11016746929316966,0.11212410904394757,-0.4299617142348702,0.44434069760365974,0.39227614437475067,0.004441805685769097,0.0008102847180697748,-0.001967893748537027,0.4598542688864236,19.576355942387373,-0.00015816480868483283,-0.5031889994466268,-6.1228268402138655,-0.0001903599894996777,-0.5100931992170012,-6.975714468631779,5.619796005575924,-6.625857674851807,5.619479675958554,-6.626174004469177,6.4658115940879,-7.485617272542903,6.465430944741656,-7.485998063154658,32699.10887592005,91.0355,1.5339,-0.015070345500398697,-0.2960279203732549,0.014460442583267018,3.2008758982234036,6162.562906832083,13.852782877979674
0.060000000000000046,15.388232179746641,-0.00798360611474536,9999.982019126563,5988.000000000011,1500.0,10000.0,262.66597572905755,0.8759172624050015,14.197931440156326,-0.0541755169012789,-0.13037283407952008,0.1376294816110945,-0.6352366912759155,0.6499744241328331,0.59964910878113,0.009873762884572113,0.0008102847180697748,-0.003004265864039548,0.6664463382286502,22.301073491564924,-0.0001166946182303243,-0.4692185350916197,-4.559635376268161,-0.00013078934331023362,-0.48762178586203486,-5.184678070099934,4.090533535794771,-5.0287372167415505,4.09030014655831,-5.028970605978011,4.697187038717505,-5.6721690317549545,4.696925529758293,-5.672430680168983,32822.213626561555,90.94022602739726,1.53265799086758,-0.01267112728310632,-0.20338265941327097,0.01762526368908267,3.2583439357568875,6158.093477717799,13.736426454014763
0.07000000000000005,18.032845650473003,-0.010382804574208754,9999.975547879727,5986.000000000013,1500.0,10000.0,266.261263516293,0.8879172899900628,14.589632526234865,-0.04892250162543335,-0.14985975017573105,0.16445145881317375,-0.8599002788922689,0.8754831474124021,0.8313293118777652,0.017320623299900233,0.0008102847180697748,-0.00377394658564022,0.8580281932830232,24.295072667659447,-8.75197110953318e-05,-0.42214453431378257,-3.486487137631944,-9.948054143471552e-05,-0.4454218436822117,-3.910237695116307,3.0644301230292568,-3.908544152234631,3.064255083607066,-3.908719191656822,3.4649153400217347,-4.355560066303289,3.464716362846457,-4.35575901129375,32945.31832700375,90.84495205479452,1.5314159817351598,-0.008991814185923748,-0.12852330280122928,0.020850305438942732,3.316383200047844,6153.5894488107,13.62099947272807
0.08000000000000006,20.71349222974044,-0.012448388779182163,9999.9680943009,5984.000000000015,1500.0,10000.0,269.87296580734176,0.8999722440710402,14.988495707742691,-0.03859717766435821,-0.16859396626608636,0.19237534479730767,-1.0976348575767025,1.1143635072753644,1.0806638744583448,0.026590017355700518,0.0008102847180697748,-0.004369769961521189,1.0249199937741702,25.739031259512462,-6.596474201481593e-05,-0.3690844239587558,-2.7669746631224035,-7.480501020007413e-05,-0.3939862317959272,-3.047812305236423,2.3979562039056623,-3.1359931223391446,2.397824274421633,-3.136125051823174,2.6539008780258295,-3.4417237315972837,2.6537512688551628,-3.4418733424674173,33068.42297769597,90.74967808219178,1.5301739726027397,-0.004428462136347634,-0.06859011106239779,0.024124668430947297,3.3748674033497505,6149.050603149584,13.50661909443179
0.09000000000000007,23.43033421485839,-0.01393944423490251,9999.959670002047,5982.000000000016,1500.0,10000.0,273.5007639418969,0.912081021555518,15.39455744395086,-0.02357936748691587,-0.18655817834521207,0.22111843522115912,-1.3437938053733463,1.3618612955993028,1.3427305064986133,0.03741006071294876,0.0008102847180697748,-0.004825463074102721,1.1615171095983015,26.779190133852968,-5.031796620476208e-05,-0.3150712537336615,-2.2953144239734935,-5.663929244925647e-05,-0.3397237945249372,-2.476939466296435,1.9802934882060368,-2.6103353597409504,1.9801928522736272,-2.6104359956733596,2.1372723108797826,-2.8166066213447585,2.1371590326632126,-2.8167199002979855,33191.52757921476,90.65440410958904,1.5289319634703196,0.000706981697582582,-0.01952566281106994,0.027438126072736074,3.4337390867872033,6144.476729727973,13.393292577460889
0.10000000000000007,26.18353106783884,-0.014621952255244689,9999.95028842182,5980.000000000018,1500.0,10000.0,277.1444265322004,0.9242428276734945,15.807863088863442,-0.004167825978323002,-0.20374716745917185,0.25036221451320423,-1.5949811628301989,1.6145061028269132,1.613919708979796,0.04946323639695839,0.0008102847180697748,-0.00517611062125747,1.264645834974145,27.520640128713083,-3.898517595129912e-05,-0.26385556814432104,-2.00160428513547,-4.3574185845329794e-05,-0.28670763066266897,-2.1114899927824355,1.7377877021671,-2.2654208681038397,1.7377097318151975,-2.265498838455742,1.8248259363560497,-2.398154049309697,1.824738787883484,-2.3982411975805125,33314.63213223177,90.5591301369863,1.5276899543378994,0.006199561097713542,0.021918439532581123,0.030781119326045762,3.4929512331128967,6139.867621884844,13.281021597369552
0.11000000000000008,28.97324002147055,-0.01426628885682657,9999.939964322955,5978.00000000002,1500.0,10000.0,280.8037689030774,0.936457033665445,16.228462634564846,0.01939074118031872,-0.22016636904814102,0.2797731443658676,-1.84870734554737,1.8697499021531256,1.8915650977980156,0.062408382489930025,0.0008102847180697748,-0.005448539017867752,1.3331279926400774,28.040857395265913,-3.077365976898808e-05,-0.2180647600852976,-1.8346054507295835,-3.409936230525101e-05,-0.23807801746844898,-1.8935644148997177,1.616571464304055,-2.052639437155112,1.616509916984517,-2.05270098447465,1.655520496789766,-2.1316083330020534,1.6554522980727713,-2.13167653173428,33437.736637488124,90.46385616438356,1.5264479452054796,0.011852613084019335,0.05788992763546135,0.03414503050024346,3.5524648575683067,6135.223076108583,13.169804543485535
0.12000000000000009,31.799616390013693,-0.012645683783977955,9999.92871330619,5976.000000000022,1500.0,10000.0,284.47863261316013,0.9487231034033453,16.656408496732055,0.04688810811919981,-0.23583070093472183,0.3090206780429019,-2.103154197615713,2.125725397361757,2.173695355275681,0.07589959809223626,0.0008102847180697748,-0.005662555809786007,1.3674816300066612,28.397009361794012,-2.482983450489323e-05,-0.17936818139649183,-1.7578074371391004,-2.7235573191786155e-05,-0.19591883031340523,-1.7805129942761038,1.5784640855771135,-1.9371507887010873,1.5784144259081037,-1.937200448370097,1.5846213995349616,-1.9764045890153885,1.5845669283904356,-1.9764590601636296,33560.84109576972,90.36858219178082,1.5252059360730594,0.017503475526766316,0.09005403542771726,0.037522479868556856,3.612247060815691,6130.542891359821,13.059637747091859
0.1300000000000001,34.662813976013005,-0.009534625516367468,9999.91655148819,5974.000000000024,1500.0,10000.0,288.16895657473054,0.9610407701396939,17.09176200110358,0.07817259004006012,-0.2507519354565079,0.3377811082352497,-2.3569656692966277,2.3810331532137514,2.4588353270406182,0.08959706515241035,0.0008102847180697748,-0.005835961452512956,1.366091547322179,28.624769404987518,-1.973914065937236e-05,-0.10459777425785333,-1.7644771241533799,-2.1913887189140002e-05,-0.14189074187076517,-1.749301531883591,1.659899089036186,-1.8690551592705738,1.659859610754867,-1.8690946375518926,1.6074327039003247,-1.8911703598674767,1.6073888761253268,-1.8912141876412354,33683.94550788833,90.27330821917808,1.5239639269406393,0.02442041956146174,0.12197284197156355,0.04090622089075829,3.6722670031151496,6125.826868286332,12.950513714101575
0.1400000000000001,37.56298629302486,-0.004706234449949791,9999.903496977773,5972.0000000000255,1500.0,10000.0,291.87473891766723,0.9734100675853972,17.534595105985932,0.11312245071678025,-0.2648923237127717,0.365608953141839,-2.609042215157054,2.634516802590965,2.7457942668831823,0.10307104248063217,0.0008102847180697748,-0.0059780905683618196,1.3087761813578151,28.748881749876364,-1.6046798349652343e-05,-0.048373422338252314,-1.8306809846824679,-1.7528249835752074e-05,-0.07048616203919739,-1.7922543293392201,1.7823236091425652,-1.8790383602223706,1.7822915155458658,-1.87907045381907,1.7217856955498283,-1.8627229631285516,1.721750639050217,-1.8627580196282834,33807.049874743905,90.17803424657534,1.5227219178082192,0.03336583674079727,0.1522767145120373,0.04427986343047234,3.7324940023113085,6121.074807392408,12.842421365735659
